name,height_in,weight_lbs,reach_in
Jorge Masvidal,71,170,74
Jorge Rivera,73,205,73
Jorge Santiago,73,145,74
Jorge de Oliveira,68,240,71
Jose Aldo,67,125,70
Jose Quinonez,68,125,69
Jose Torres,64,135,65
Joseph Benavidez,64,155,65
Joseph Morales,66,255,69
Joseph Solecki,69,259,71
Josh Appelt,70,185,73
Josh Barnett,75,170,78
Josh Clopton,66,145,68
Josh Copeland,73,125,75
Josh Emmett,66,170,70
Josh Ferguson,65,235,66
Josh Grispi,71,185,74
Josh Janousek,71,185,73
Josh Koscheck,70,170,73
Josh Neer,71,145,72
Josh Samman,75,235,79
Josh Shockley,73,205,74
Josh Stansbury,74,170,74
Josh Thomson,70,125,71
Joshua Burkman,70,250,72
Joshua Sampo,64,190,64
Juan Adams,77,145,80
Juan Espino,76,205,82
Juan Puig,69,145,72
Julia Budd,67,300,67
Julian Erosa,73,115,74
Julian Marquez,74,135,75
Juliana Lima,65,145,65
Julianna Pena,66,145,69
Julie Kedzie,65,145,64
Julija Stoliarenko,67,170,66
Julio Arce,67,135,70
Jumabieke Tuerxun,67,264,67
Junior Albini,75,238,74
Junior Assuncao,69,135,72
Junior Dos Santos,76,170,77
Junior Hernandez,69,155,69
Jussier Formiga,65,205,67
Justin Buchholz,72,235,73
Justin Edwards,70,155,70
Justin Frazier,72,170,75
Justin Gaethje,71,170,70
Justin Gonzales,69,205,72
Justin Jones,71,185,78
Justin Lawrence,68,185,67
Justin Ledet,76,225,80
Justin McCully,73,135,73
Justin Salas,68,264,70
Justin Scoggins,67,265,66
Justin Sumter,74,125,80
Justin Willis,73,155,78
Justine Kish,65,115,64
KJ Noons,70,155,72
Kai Kara-France,65,155,69
Kailin Curran,64,115,65
Kajan Johnson,71,125,75
Kali Robbins,63,155,63
Kalib Starnes,75,170,74
Kamal Shalorus,68,125,68
Kamaru Usman,72,185,76
Karen Darabedyan,67,205,68
Karine Gevorgyan,64,113,63
Karl Reed,75,170,78
Karl Roberson,73,135,74
Karlos Vemola,72,125,75
Karo Parisyan,70,154,72
Karolina Kowalkiewicz,63,145,64
Katlyn Chookagian,69,168,68
Katsunori Kikuno,68,205,66
Kazuhiro Nakamura,71,220,70
Kazuki Tokudome,71,185,73
Keita Nakamura,71,185,73
Keith Berish,72,185,73
Keith Jardine,74,155,76
Keith Wisniewski,72,135,75
Kelly Faszholz,68,161,67
Kelvin Gastelum,69,185,71
Ken Shamrock,73,220,72
Ken Stone,68,170,71
Kendall Grove,78,145,79
Kenji Osawa,67,145,66
Kenneth Bergh,74,170,76
Kenny Florian,70,265,74
Kenny Robertson,70,200,74
Ketlen Vieira,68,170,68
Kevin Aguilar,67,235,73
Kevin Burns,70,125,74
Kevin Casey,71,205,77
Kevin Gray,64,245,67
Kevin Holland,75,170,81
Kevin Lee,69,145,77
Kevin Souza,72,185,74
Khabib Nurmagomedov,70,205,70
Khalid Murtazaliev,72,170,76
Khalid Taha,65,135,69
Khalil Rountree Jr.,73,145,76
Kiichi Kunimoto,70,135,71
Klidson Abreu,72,230,74
Konstantin Erokhin,71,220,73
Kris McCray,72,185,76
Kron Gracie,69,168,70
Krzysztof Jotko,73,155,77
Krzysztof Soszynski,73,155,77
Kuniyoshi Hironaka,70,145,70
Kurt Holobaugh,71,185,70
Kurt Pellegrino,68,155,70
Kwan Ho Kwak,65,185,70
Kyle Bochniak,67,135,70
Kyle Bradley,69,205,71
Kyle Daukaus,75,155,76
Kyle Kingsbury,76,170,76
Kyle Nelson,71,225,71
Kyle Noke,73,155,76
Kyle Prepolec,70,135,70
Kyle Stewart,74,125,76
Kyoji Horiguchi,65,125,66
Kyung Ho Kang,69,185,73
LC Davis,68,145,69
Lance Benoist,71,185,73
Lando Vannata,69,205,71
Larissa Pacheco,67,125,69
Laureano Staropoli,73,170,71
Lauren Mueller,65,145,67
Lauren Murphy,67,145,67
Lavar Johnson,76,135,82
Lazar Stojadinovic,67,205,68
Leah Letson,67,155,71
Leandro Issa,67,286,69
Leandro Silva,69,185,72
Leo Kuntz,70,145,74
Leon Edwards,72,155,74
Leon Shahbazyan,76,135,77
Leonard Garcia,70,155,69
Leonardo Augusto Leleco,72,185,73
Leonardo Mafra,70,135,70
Leonardo Morales,68,145,68
Leonardo Santos,72,170,75
Leslie Smith,69,170,66
Levan Makashvili,68,205,68
Lewis Gonzalez,70,135,73
Li Jingliang,72,135,71
Lina Lansberg,67,135,65
Lisa Ellis,64,125,62
Liu Pingyuan,66,185,72
Livinha Souza,65,185,63
Liz Carmouche,66,170,66
Lorenz Larkin,71,135,72
Louis Gaudinot,63,160,63
Louis Smolka,69,125,68
Louis Taylor,71,205,74
Luan Chagas,72,145,75
Luana Carolina,66,161,69
Lucas Martins,72,170,72
Lucie Pudilova,68,145,67
Luigi Fioravanti,68,155,70
Luis Gomez,67,170,68
Luis Henrique,74,154,74
Luis Pena,75,185,75
Luiz Cane,74,185,77
Luiz Dutra,71,155,71
Lukasz Sajewski,68,155,71
Luke Barnatt,78,170,77
Luke Cummo,72,135,74
Luke Jumeau,71,185,72
Luke Rockhold,75,185,77
Luke Sanders,66,155,67
Luke Zachrich,74,185,74
Lyman Good,72,155,74
Lyoto Machida,73,145,74
Mac Danzig,68,135,70
Mackens Semerzier,69,155,72
Mackenzie Dern,64,185,63
Macy Chiasson,71,205,72
Mads Burnell,68,125,69
Magnus Cedenblad,77,185,79
Magomed Ankalaev,75,115,75
Magomed Bibulatov,65,115,65
Magomed Mustafaev,68,185,71
Maia Stevenson,64,185,62
Mairbek Taisumov,69,220,73
Maki Pitolo,70,135,72
Makwan Amirkhani,70,125,72
Manny Bermudez,70,135,71
Manny Tapia,65,125,67
Manny Vazquez,70,155,72
Manuel Rodriguez,69,155,68
Manvel Gamburyan,65,185,67
Mara Romero Borella,66,205,69
Marc Diakiese,70,170,73
Marc-Andre Barriault,73,249,74
Marcel Fortuna,73,185,74
Marcelo Golm,75,155,75
Marcelo Guimaraes,72,205,73
Marcin Bandel,70,155,70
Marcin Held,69,185,71
Marcin Prachnio,75,232,74
Marcin Tybura,75,155,78
Marcio Alexandre Junior,72,210,75
Marco Beltran,68,135,69
Marcos Rogerio de Lima,73,215,75
Marcos Vinicius,69,135,70
Marcus Aurelio,70,155,74
Marcus Brimage,64,155,71
Marcus Davis,70,242,70
Marcus Hicks,66,115,64
Marcus LeVesseur,69,115,70
Marina Rodriguez,66,145,65
Mario Bautista,69,205,72
Mario Miranda,75,135,74
Marion Reneau,66,145,68
Mark Bocek,68,145,75
Mark Cherico,67,145,69
Mark Coleman,73,240,75
Mark De La Rosa,66,190,65
Mark Eddiva,68,145,68
Mark Godbeer,76,205,77
Mark Hominick,68,185,68
Mark Hunt,70,170,72
Mark Munoz,72,135,72
Markus Perez,73,145,73
Marloes Coenen,69,145,67
Marlon Moraes,66,135,67
Marlon Vera,68,170,70
Martin Bravo,68,155,71
Martin Buschkamp,69,185,70
Martin Day,70,135,73
Martin Kampmann,72,185,72
Martin Svensson,73,125,72
Marvin Eastman,69,220,73
Marvin Vettori,72,139,74
Maryna Moroz,67,135,67
Masanori Kanehara,67,170,67
Masio Fullen,70,170,70
Matheus Nicolau,66,145,66
Mats Nilsson,73,170,74
Matt Arroyo,70,220,72
Matt Bessette,70,155,70
Matt Brown,72,145,75
Matt Dwyer,76,205,76
Matt Frevola,69,125,71
Matt Grice,68,185,70
Matt Hamill,73,170,76
Matt Hobar,70,244,70
Matt Hughes,69,205,73
Matt Lindland,72,145,74
Matt Mitrione,75,170,79
Matt Sayles,67,265,68
Matt Schnell,68,205,70
Matt Serra,66,155,68
Matt Van Buren,77,170,76
Matt Wiman,70,258,68
Matthew Lopez,67,145,69
Matthew Riddle,73,221,74
Maurice Greene,79,205,82
Mauricio Rua,73,145,76
Max Griffin,71,135,76
Max Holloway,71,125,69
Maximo Blanco,68,145,71
Maycee Barber,65,155,65
Megan Anderson,72,125,72
Mehdi Baghdad,73,225,75
Melinda Fabian,66,185,66
Melvin Guillard,69,145,68
Merab Dvalishvili,66,155,68
Michael Bisping,73,170,75
Michael Chiesa,73,220,75
Michael Cora,73,185,77
Michael Graves,70,185,71
Michael Johnson,70,155,73
Michael Kuiper,72,170,73
Michael Lombardo,72,205,72
Michael McBride,73,155,75
Michael McDonald,69,205,70
Michael Trizano,71,170,71
Michal Oleksiejczuk,72,155,74
Michel Pereira,73,145,73
Michel Prazeres,66,135,67
Michel Quinones,70,205,73
Michelle Waterson,63,155,62
Michihiro Omigawa,66,170,68
Michinori Tanaka,65,135,67
Mickael Lebout,71,205,73
Mickey Gall,74,135,74
Miesha Tate,66,155,65
Miguel Baeza,74,185,74
Miguel Torres,69,275,76
Mike Brown,66,235,70
Mike Budnik,69,205,68
Mike Davis,72,145,72
Mike Easton,66,230,70
Mike Grundy,67,155,72
Mike Guymon,72,185,74
Mike King,75,185,75
Mike Kyle,76,185,77
Mike Massenzio,74,170,73
Mike Perry,70,170,71
Mike Pierce,68,155,70
Mike Pyle,72,155,74
Mike Rhodes,73,205,74
Mike Ricci,72,255,77
Mike Rio,70,185,71
Mike Rodriguez,76,170,82
Mike Russow,73,170,73
Mike Santiago,70,260,69
Mike Stumpf,70,145,71
Mike Swick,73,145,77
Mike Wilkinson,67,205,68
Mike de la Torre,71,135,71
Milana Dudieva,63,255,61
Miles Johns,67,178,66
Milton Vieira,72,240,72
Minotauro Nogueira,75,155,77
Mirko Cro Cop,74,135,73
Mirsad Bektic,68,185,70
Misha Cirkunov,75,245,77
Mitch Clarke,70,390,73
Mitch Gagnon,65,154,65
Mizuto Hirota,67,135,67
Molly McCann,64,230,62
Montana De La Rosa,67,168,68
Montel Jackson,70,135,75
Mostapha Al-Turk,74,145,77
Motonobu Tezuka,67,155,66
Movsar Evloev,67,135,72
Muhammed Lawal,72,183,78
Muslim Salikhov,71,125,70
Myles Jury,70,105,73
Nad Narimani,68,135,70
Nadia Kassem,65,230,66
Nah-Shon Burrell,71,125,73
Nam Phan,66,255,70
Nandor Guelmino,75,155,76
Naoki Inoue,69,155,71
Naoyuki Kotani,68,185,66
Nasrat Haqparast,70,185,72
Nate Diaz,72,155,76
Nate Marquardt,72,230,74
Nate Mohr,69,170,72
Nate Quarry,72,135,72
Nathan Coy,70,265,69
Nathaniel Wood,66,125,69
Nazareno Malegarie,68,242,70
Neil Magny,75,125,80
Neil Seery,64,105,64
Nicco Montano,65,170,65
Nick Catone,72,125,72
Nick Diaz,73,155,76
Nick Hein,66,135,66
Nick Newell,70,205,74
Nick Osipczak,74,145,76
Nick Pace,67,185,68
Nick Penner,76,205,77
Nick Ring,72,170,74
Nick Roehrick,74,170,75
Nick Thompson,73,170,74
Nick Urso,66,155,66
Nico Musoke,72,205,75
Nicolae Negumereanu,72,185,78
Nicolas Dalby,71,145,74
Nik Lentz,68,170,68
Nikita Krylov,75,115,77
Niklas Backstrom,73,185,74
Niko Price,72,145,76
Nina Ansaroff,65,135,64
Ning Guangyou,64,220,64
Noad Lahat,69,125,69
Nolan Ticman,66,155,69
Nordine Taleb,73,135,74
Norifumi Yamamoto,64,170,66
Norman Parke,71,242,70
Oli Thompson,73,185,75
Oliver Enkamp,72,200,77
Olivier Aubin-Mercier,69,170,70
Oluwale Bamgbose,71,300,78
Omari Akhmedov,72,230,73
Oskar Piechota,72,155,76
Ovince Saint Preux,75,125,80
Pablo Garza,73,145,73
Paddy Holohan,70,170,69
Paige VanZant,64,155,65
Pannie Kianzad,67,235,68
Papy Abedi,71,155,74
Pascal Krauss,73,145,72
Pat Barry,71,170,74
Pat Healy,72,170,74
Pat Schilling,68,185,69
Patrick Cote,71,225,71
Patrick Cummins,74,170,76
Patrick Walsh,71,245,71
Patrick Williams,68,205,73
Paul Buentello,74,155,77
Paul Craig,75,170,76
Paul Daley,69,199,76
Paul Felder,71,155,70
Paul Kelly,69,155,70
Paul Redmond,70,155,70
Paul Sass,72,185,73
Paul Taylor,72,185,72
Paulo Costa,73,170,72
Paulo Thiago,71,135,73
Pawel Pawlak,72,245,73
Pearl Gonzalez,64,241,68
Pedro Munhoz,66,135,65
Peggy Morgan,73,170,70
Per Eklund,70,235,72
Pete Sell,71,170,75
Peter Petties,71,155,72
Peter Sobotta,72,205,75
Petr Yan,67,125,67
Phil Baroni,69,185,72
Phil Davis,74,250,79
Phil Harris,64,155,64
Phil Hawes,73,205,70
Philip De Fries,77,185,82
Phillipe Nover,69,155,72
Pietro Menga,67,115,68
Piotr Hallmann,69,145,71
Poliana Botelho,68,125,67
Polo Reyes,71,185,71
Polyana Viana,65,155,67
Priscila Cachoeira,67,245,65
Punahele Soriano,71,185,72
Quinn Mulhern,75,145,76
Rachael Ostovich,63,170,62
Rafael Dos Anjos,68,135,70
Rafael Feijao,73,135,73
Rafael Fiziev,68,155,71
Rafael Natal,72,199,76
Rafael Rebello,65,145,67
Rafaello Oliveira,68,205,71
Ramazan Emeev,70,205,76
Rameau Thierry Sokoudjou,70,115,78
Ramiz Brahimaj,70,185,73
Rampage Jackson,73,170,73
Ramsey Nijem,71,135,75
Randa Markos,64,205,63
Randall Wallace,71,135,73
Randy Brown,75,135,78
Randy Costa,69,195,73
Randy Couture,73,135,75
Rani Yahya,66,261,67
Raoni Barcelos,67,247,67
Raphael Assuncao,65,135,66
Raquel Pennington,67,185,67
Rashad Coulter,71,125,76
Rashad Evans,72,135,75
Rashid Magomedov,69,170,70
Raulian Paiva,68,240,69
Ray Borg,64,246,63
Reginaldo Vieira,67,205,65
Renan Barao,66,170,70
Renato Moicano,71,155,72
Renato Sobral,73,185,75
Renee Forte,67,265,71
Reuben Duran,67,155,69
Reza Madadi,71,170,72
Ricardo Abreu,71,170,73
Ricardo Almeida,72,145,74
Ricardo Funch,70,242,76
Ricardo Lamas,68,135,71
Ricardo Ramos,69,170,72
Ricardo Romero,72,155,76
Rich Attonito,70,155,72
Rich Clementi,69,265,72
Rich Franklin,73,170,75
Richard Odoms,77,135,82
Richard Walsh,72,155,73
Richardson Moreira,74,125,72
Richie Santiago,67,145,67
Richie Smullen,69,207,68
Richie Vaculik,66,170,69
Rick Glenn,72,145,70
Rick Story,69,170,71
Ricky Rainey,73,135,77
Ricky Simon,66,170,69
Ricky Turcios,69,185,71
Rico DiSciullo,68,135,71
Riki Fukuda,72,265,73
Rilley Dutro,68,155,70
Rin Nakai,61,135,60
Roan Carneiro,71,185,74
Rob Broughton,74,205,74
Rob Emerson,69,155,70
Rob Font,68,155,71
Rob Kimmons,70,145,73
Rob MacDonald,75,185,78
Rob McCullough,69,185,69
Rob Whiteford,69,155,69
Rob Wilkinson,75,155,80
Robbie Lawler,71,245,74
Robert Drysdale,75,145,78
Robert Peralta,68,227,71
Robert Whittaker,72,145,73
Roberto Sanchez,66,205,66
Rocky Lee,69,145,68
Rodney Wallace,69,183,72
Rodolfo Rubio,65,246,66
Rodrigo Damm,67,185,71
Rodrigo de Lima,67,205,75
Roger Bowling,69,155,68
Roger Gracie,76,170,79
Roger Hollett,71,125,70
Roger Huerta,69,205,70
Roger Narvaez,75,135,79
Roger Zapata,71,205,74
Rogerio Bontorin,66,155,67
Rogerio Nogueira,74,145,75
Roland Delorme,69,135,71
Rolando Delgado,75,242,77
Rolando Dy,68,205,69
Roldan Sangcha-an,64,170,65
Roman Salazar,67,200,67
Ron Stallings,74,125,75
Ronda Rousey,67,155,68
Ronny Markes,73,155,75
Rony Jason,67,170,70
Roosevelt Roberts,74,115,73
Rory MacDonald,72,135,76
Rory Markham,72,135,71
Rory Singer,74,154,77
Rose Namajunas,65,155,65
Rosi Sexton,63,170,63
Ross Pearson,68,125,69
Rostem Akman,70,263,72
Rousimar Palhares,68,199,71
Roxanne Modafferi,67,175,69
Roy Nelson,72,135,72
Royston Wee,67,185,67
Ruan Potts,74,170,75
Ruslan Magomedov,75,205,78
Russell Doane,67,135,70
Rustam Khabilov,68,155,73
Ryan Bader,74,200,74
Ryan Benoit,65,155,68
Ryan Couture,70,185,75
Ryan Hall,70,205,71
Ryan Janes,75,170,76
Ryan Jensen,73,135,76
Ryan Jimmo,73,170,73
Ryan LaFlare,73,185,74
Ryan MacDonald,71,235,71
Ryan Spann,77,205,79
Ryo Chonan,69,183,70
Sabah Homasi,72,135,72
Sabina Mazo,67,155,70
Sage Northcutt,72,170,71
Sai Wang,72,155,72
Said Nurmagomedov,68,170,70
Salim Touahri,70,205,72
Sam Alvey,74,145,75
Sam Sicilia,68,155,67
Sam Stout,69,170,70
Santiago Ponzinibbio,72,115,73
Saparbeg Safarov,73,135,78
Sara McMann,66,135,66
Sarah Frota,66,154,69
Sarah Kaufman,65,205,67
Sarah Moras,67,240,67
Scott Askham,75,215,75
Scott Holtzman,69,155,69
Scott Jorgensen,65,210,66
Scott Smith,72,175,70
Sean Lally,72,270,74
Sean McCorkle,79,170,81
Sean O'Connell,73,185,74
Sean O'Malley,71,155,72
Sean Pierson,72,145,76
Sean Sherk,66,145,67
Sean Soriano,69,168,70
Sean Spencer,70,265,75
Sean Strickland,73,115,76
Seohee Ham,62,170,62
Sergei Pavlovich,75,155,84
Sergey Khandozhko,73,135,74
Serghei Spivac,75,170,78
Sergio Moraes,72,185,72
Sergio Pettis,66,205,69
Seth Baczynski,75,145,74
Seth Dikun,70,155,69
Seth Petruzelli,72,125,76
Seungwoo Choi,72,145,74
Shamar Bailey,69,145,75
Shamil Abdurakhimov,75,155,76
Shana Dobson,66,265,69
Shane Burgos,71,155,75
Shane Campbell,72,205,71
Shane Carwin,74,155,80
Shane Howell,68,145,69
Shane Nelson,69,250,70
Shane Roller,70,190,72
Shane Young,68,135,72
Shane del Rosario,76,260,79
Shannon Gugerty,70,265,71
Shawn Jordan,72,170,75
Shawn Teed,77,255,79
Shayna Baszler,67,235,67
Sheila Gaff,65,155,62
Sheldon Westcott,73,145,71
Shelton Graves,74,135,76
Sheymon Moraes,68,139,72
Shinsho Anzai,67,185,70
Shunichi Shimizu,65,135,66
Sidney Outlaw,68,170,74
Sijara Eubanks,64,135,67
Simeon Thoresen,73,265,79
Sirwan Kakai,65,320,66
Siyar Bahadurzada,71,205,73
Soa Palelei,76,185,81
Sodiq Yusuff,69,170,71
Song Kenan,72,205,71
Song Yadong,68,215,67
Spencer Fisher,67,170,70
Stanislav Nedkov,71,205,71
Stefan Sekulic,72,145,75
Stefan Struve,83,145,84
Stephan Bonnar,76,145,78
Stephen Thompson,72,170,75
Steve Bosse,71,135,72
Steve Cantwell,74,230,75
Steve Kennedy,71,185,71
Steve Montgomery,76,185,75
Steve Steinbeiss,75,290,75
Steven Peterson,70,240,70
Steven Siler,71,135,70
Stevie Ray,70,145,70
Stipe Miocic,76,145,80
Su Mudaerji,68,125,72
Sultan Aliev,71,155,74
Suman Mokhtarian,70,155,67
Sung Bin Jo,72,155,72
Syuri Kondo,64,170,66
TJ Dillashaw,66,310,67
TJ Grant,70,155,72
TJ Waldburger,71,264,75
Tae Hyun Bang,69,125,71
Tai Tuivasa,74,155,75
Taila Santos,65,225,68
Takanori Gomi,67,170,70
Takashi Sato,70,145,73
Takenori Sato,70,145,71
Takeya Mizugaki,67,170,68
Talita Bernardo,64,125,68
Tamdan McCrory,76,205,78
Tarec Saffiedine,70,205,70
Tateki Matsuda,67,135,65
Tatiana Suarez,65,170,66
Tatsuya Kawajiri,67,265,69
Taylor Lapilus,66,275,73
Te Edwards,68,430,72
Tebaris Gordon,73,135,78
Tecia Torres,61,155,60
Teemu Packalen,73,135,72
Terrion Ware,68,185,71
Terry Etim,73,145,73
Terry Martin,68,170,71
Teruto Ishihara,67,155,69
Thales Leites,73,205,78
Thanh Le,69,205,74
Thiago Alves,69,145,70
Thiago Moises,69,155,70
Thiago Perpetuo,70,135,71
Thiago Santos,74,170,76
Thiago Silva,74,154,74
Thiago Tavares,67,155,68
Thibault Gouti,70,145,72
Thomas Almeida,67,410,70
Thomas Gifford,73,115,75
Tiago Trator,69,185,70
Tiequan Zhang,68,235,70
Tiffany Masters,63,185,65
Tim Boetsch,72,135,74
Tim Credeur,75,185,75
Tim Elliott,67,225,66
Tim Gorman,65,185,68
Tim Hague,76,170,76
Tim Johnson,75,170,77
Tim Kennedy,71,185,74
Tim McKenzie,72,185,74
Tim Means,74,115,75
Tim Sylvia,80,145,80
Tim Williams,74,205,76
Tina Lahdemaki,62,200,62
Tito Ortiz,75,205,74
Todd Duffee,75,185,79
Todd Moore,69,170,71
Tom Breese,75,170,73
Tom DeBlass,72,205,75
Tom Duquesnoy,67,227,68
Tom Gallicchio,70,250,73
Tom Lawlor,72,185,74
Tom Niinimaki,69,145,69
Tom Watson,73,250,73
Tomasz Drwal,73,155,76
Tommy Hayden,69,139,72
Tommy Speer,70,170,71
Tony DeSouza,72,196,70
Tony Ferguson,71,155,76
Tony Sims,71,170,70
Tonya Evinger,67,125,70
Tor Troeng,74,255,77
Travis Browne,78,205,79
Travis Lutter,71,185,75
Trevin Giles,72,170,74
Trevor Prangley,73,185,75
Trevor Smith,75,220,75
Tyler Diamond,67,170,69
Tyler Hill,75,185,78
Tyler Toner,68,205,70
Tyron Woodley,69,125,74
Tyson Griffin,66,135,68
Tyson Pedro,75,155,79
Ulka Sasaki,70,230,71
Ulysses Gomez,66,125,66
Uriah Hall,72,170,79
Urijah Faber,66,115,67
Vagner Rocha,70,155,73
Valentina Shevchenko,65,170,66
Valerie Letourneau,67,125,68
Valmir Lazaro,72,125,73
Vaughan Lee,66,170,66
Vernon Ramos,66,170,72
Veronica Macedo,64,205,64
Vicente Luque,71,240,75
Victor Reyna,71,155,73
Vik Grujic,71,155,73
Viktor Pesta,75,185,77
Vinc Pichel,70,220,72
Vince Morales,67,205,70
Vinny Magalhaes,75,185,79
Virgil Zwicker,74,185,74
Virna Jandiroba,63,154,64
Viscardi Andrade,71,135,75
Vitor Belfort,72,205,74
Vitor Miranda,73,205,77
Viviane Araujo,64,245,68
Viviane Pereira,61,145,63
Vladimir Matyushenko,72,205,74
Volkan Oezdemir,74,170,75
Wagner Prado,72,205,74
Wagner Silva,72,250,71
Wagnney Fabiano,66,205,69
Walel Watson,71,145,69
Walt Harris,77,195,77
Wanderlei Silva,71,145,74
Wang Guan,69,205,71
Warlley Alves,71,115,72
Wendell Oliveira,70,205,72
Will Brooks,70,155,72
Will Campuzano,69,170,70
Will Chope,76,125,76
Will Kerr,70,185,69
William Patolino,71,160,75
Willie Gates,68,154,70
Wilson Gouveia,73,185,76
Wilson Reis,64,125,65
Wu Yanan,68,155,66
Wuliji Buren,69,205,69
Yair Rodriguez,71,125,71
Yan Cabral,71,145,73
Yan Xiaonan,65,205,63
Yana Kunitskaya,66,145,68
Yancy Medeiros,70,185,75
Yao Zhikui,65,155,64
Yaotzin Meza,69,205,74
Yazan Hajeh,69,250,73
Yoel Romero,72,155,73
Yorgan De Castro,72,220,74
Yosdenis Cedeno,68,199,69
Yoshihiro Akiyama,70,170,73
Yoshiro Maeda,67,185,68
Yoshiyuki Yoshida,71,225,70
Yui Chul Nam,69,185,69
Yuri Villefort,72,255,73
Yushin Okami,74,155,75
Yusuke Kasuya,67,145,67
Yves Edwards,69,185,73
Yves Jabouin,67,145,68
Zabit Magomedsharipov,73,155,73
Zach Makovsky,64,185,64
Zach Zane,67,145,69
Zachary Micklewright,72,185,74
Zak Cummings,72,155,75
Zak Ottow,71,135,72
